COIN	COIN_ABR	DATE	OPEN	HIGH	LOW	CLOSE
ripple	XRP	2017-04-11	0.033677	0.034576	0.032035	0.032952
bitcoin	BTC	2017-04-12	1204.81	1207.14	1196.76	1200.37
ethereum	ETH	2017-04-12	43.46	47.23	43.11	46.29
litecoin	LTC	2017-04-12	8.83	11.06	8.83	10.79
ripple	XRP	2017-04-12	0.033002	0.034794	0.032477	0.034336
bitcoin	BTC	2017-04-13	1201.02	1205.89	1156.44	1169.28
ethereum	ETH	2017-04-13	46.31	50.91	46.31	50.22
litecoin	LTC	2017-04-13	10.76	10.77	9.93	10.15
ripple	XRP	2017-04-13	0.034459	0.035574	0.033461	0.034383
bitcoin	BTC	2017-04-14	1170.33	1190.8	1159.79	1167.54
ethereum	ETH	2017-04-14	49.97	50.05	46.76	47.57
litecoin	LTC	2017-04-14	10.13	10.51	9.68	10.39
ripple	XRP	2017-04-14	0.034262	0.035127	0.032986	0.033779
bitcoin	BTC	2017-04-15	1167.3	1188	1164.96	1172.52
ethereum	ETH	2017-04-15	47.65	49.57	47.18	49.1
litecoin	LTC	2017-04-15	10.34	11	10.2	10.79
ripple	XRP	2017-04-15	0.033528	0.034281	0.033277	0.033955
bitcoin	BTC	2017-04-16	1172.61	1187.22	1172.61	1182.94
ethereum	ETH	2017-04-16	49.04	49.14	48.19	48.72
litecoin	LTC	2017-04-16	10.75	10.9	10.67	10.71
ripple	XRP	2017-04-16	0.03388	0.034002	0.033194	0.033462
bitcoin	BTC	2017-04-17	1183.25	1194.9	1172.65	1193.91
ethereum	ETH	2017-04-17	48.66	48.75	48.05	48.3
litecoin	LTC	2017-04-17	10.6	11.18	10.39	10.42
ripple	XRP	2017-04-17	0.0334	0.03406	0.032955	0.033655
bitcoin	BTC	2017-04-18	1193.77	1217.57	1193.77	1211.67
ethereum	ETH	2017-04-18	48.32	51.03	48.3	50.71
litecoin	LTC	2017-04-18	10.42	10.94	9.97	10.32
ripple	XRP	2017-04-18	0.033638	0.034021	0.032866	0.033183
bitcoin	BTC	2017-04-19	1212.13	1215.51	1205.08	1210.29
ethereum	ETH	2017-04-19	50.73	50.95	47.26	48.31
litecoin	LTC	2017-04-19	10.31	10.35	9.59	9.66
ripple	XRP	2017-04-19	0.033181	0.033387	0.029687	0.030173
bitcoin	BTC	2017-04-20	1211.08	1240.79	1208.41	1229.08
ethereum	ETH	2017-04-20	48.13	49.99	48.13	49.67
litecoin	LTC	2017-04-20	9.63	10.66	9.59	10.33
ripple	XRP	2017-04-20	0.030259	0.030611	0.027493	0.029984
bitcoin	BTC	2017-04-21	1229.42	1235.94	1215.56	1222.05
ethereum	ETH	2017-04-21	49.64	49.66	48.14	48.22
litecoin	LTC	2017-04-21	10.29	11.54	10.16	11.23
ripple	XRP	2017-04-21	0.029727	0.034044	0.029216	0.03278
bitcoin	BTC	2017-04-22	1222.71	1235.56	1208.47	1231.71
ethereum	ETH	2017-04-22	48.18	48.74	48.17	48.55
litecoin	LTC	2017-04-22	11.18	13.07	11.11	13.06
ripple	XRP	2017-04-22	0.033122	0.033279	0.031422	0.03177
bitcoin	BTC	2017-04-23	1231.92	1232.2	1203.94	1207.21
ethereum	ETH	2017-04-23	48.59	48.89	48.17	48.49
litecoin	LTC	2017-04-23	13.07	14.41	12.95	13.94
ripple	XRP	2017-04-23	0.031878	0.031974	0.030742	0.031278
bitcoin	BTC	2017-04-24	1209.63	1250.94	1209.63	1250.15
ethereum	ETH	2017-04-24	48.87	50.18	48.87	50.03
litecoin	LTC	2017-04-24	13.96	14.97	13.33	14.97
ripple	XRP	2017-04-24	0.031236	0.031436	0.030738	0.031384
bitcoin	BTC	2017-04-25	1250.45	1267.58	1249.97	1265.49
ethereum	ETH	2017-04-25	50.07	50.3	49.81	49.89
litecoin	LTC	2017-04-25	14.98	15.43	14.24	15.21
